alpha,Stiffness (K),Viscosity (D),Mass (M),(K2),(KD),(D2),bias
,,,,,,,
1.00E-08,1558.352723,-0.566408704,0.049467306,127144.9722,871.6376193,-0.015418792,-0.078563483
0.068268277,0,0,-0.387666461,0,0,0.027226947,2.819071554
,,,,,,,
0.068818828,0,0,-0.387140204,0,0,0.026980018,2.819367054
,,,,,,,
0.069369378,0,0,-0.386613947,0,0,0.026733089,2.819662553
,,,,,,,
0.069919929,0,0,-0.38608769,0,0,0.02648616,2.819958053
,,,,,,,
0.070470479,0,0,-0.385561433,0,0,0.026239231,2.820253553
,,,,,,,
0.07102103,0,0,-0.385035175,0,0,0.025992302,2.820549052
,,,,,,,
0.07157158,0,0,-0.384508918,0,0,0.025745373,2.820844552
,,,,,,,
0.072122131,0,0,-0.383982661,0,0,0.025498444,2.821140052
,,,,,,,
0.072672681,0,0,-0.383456404,0,0,0.025251515,2.821435551
,,,,,,,
0.073223232,0,0,-0.382930147,0,0,0.025004586,2.821731051
,,,,,,,
0.073773782,0,0,-0.382403889,0,0,0.024757657,2.822026551
,,,,,,,
0.074324333,0,0,-0.381877632,0,0,0.024510728,2.82232205
,,,,,,,
0.074874884,0,0,-0.381351375,0,0,0.024263799,2.82261755
,,,,,,,
0.075425434,0,0,-0.380825118,0,0,0.02401687,2.82291305
,,,,,,,
0.075975985,0,0,-0.380298861,0,0,0.023769941,2.823208549
,,,,,,,
0.076526535,0,0,-0.379772603,0,0,0.023523012,2.823504049
,,,,,,,
0.077077086,0,0,-0.379246346,0,0,0.023276083,2.823799549
,,,,,,,
0.077627636,0,0,-0.378720089,0,0,0.023029154,2.824095048
,,,,,,,
0.078178187,0,0,-0.378193832,0,0,0.022782225,2.824390548
,,,,,,,
0.078728737,0,0,-0.377667575,0,0,0.022535296,2.824686047
,,,,,,,
0.079279288,0,0,-0.377141317,0,0,0.022288367,2.824981547
,,,,,,,
0.079829838,0,0,-0.37661506,0,0,0.022041438,2.825277047
,,,,,,,
0.080380389,0,0,-0.376088803,0,0,0.021794509,2.825572546
,,,,,,,
0.080930939,0,0,-0.375562546,0,0,0.02154758,2.825868046
,,,,,,,
0.08148149,0,0,-0.375036289,0,0,0.021300651,2.826163546
,,,,,,,
0.082032041,0,0,-0.374510032,0,0,0.021053722,2.826459045
,,,,,,,
0.082582591,0,0,-0.373983774,0,0,0.020806793,2.826754545
,,,,,,,
0.083133142,0,0,-0.373457517,0,0,0.020559864,2.827050045
,,,,,,,
0.083683692,0,0,-0.37293126,0,0,0.020312935,2.827345544
,,,,,,,
0.084234243,0,0,-0.372405003,0,0,0.020066006,2.827641044
,,,,,,,
0.084784793,0,0,-0.371878746,0,0,0.019819077,2.827936544
,,,,,,,
0.085335344,0,0,-0.371352488,0,0,0.019572148,2.828232043
,,,,,,,
0.085885894,0,0,-0.370826231,0,0,0.019325219,2.828527543
,,,,,,,
0.086436445,0,0,-0.370299974,0,0,0.01907829,2.828823043
,,,,,,,
0.086986995,0,0,-0.369773717,0,0,0.018831361,2.829118542
,,,,,,,
0.087537546,0,0,-0.36924746,0,0,0.018584432,2.829414042
,,,,,,,
0.088088096,0,0,-0.368721202,0,0,0.018337503,2.829709542
,,,,,,,
0.088638647,0,0,-0.368194945,0,0,0.018090574,2.830005041
,,,,,,,
0.089189198,0,0,-0.367668688,0,0,0.017843645,2.830300541
,,,,,,,
0.089739748,0,0,-0.367142431,0,0,0.017596716,2.830596041
,,,,,,,
0.090290299,0,0,-0.366616174,0,0,0.017349787,2.83089154
,,,,,,,
0.090840849,0,0,-0.366089916,0,0,0.017102858,2.83118704
,,,,,,,
0.0913914,0,0,-0.365563659,0,0,0.016855929,2.83148254
,,,,,,,
0.09194195,0,0,-0.365037402,0,0,0.016609,2.831778039
,,,,,,,
0.092492501,0,0,-0.364511145,0,0,0.016362071,2.832073539
,,,,,,,
0.093043051,0,0,-0.363984888,0,0,0.016115142,2.832369039
,,,,,,,
0.093593602,0,0,-0.36345863,0,0,0.015868213,2.832664538
,,,,,,,
0.094144152,0,0,-0.362932373,0,0,0.015621284,2.832960038
,,,,,,,
0.094694703,0,0,-0.362406116,0,0,0.015374355,2.833255538
,,,,,,,
0.095245254,0,0,-0.361879859,0,0,0.015127426,2.833551037
,,,,,,,
0.095795804,0,0,-0.361353602,0,0,0.014880497,2.833846537
,,,,,,,
0.096346355,0,0,-0.360827345,0,0,0.014633568,2.834142037
,,,,,,,
0.096896905,0,0,-0.360301087,0,0,0.014386639,2.834437536
,,,,,,,
0.097447456,0,0,-0.35977483,0,0,0.01413971,2.834733036
,,,,,,,
0.097998006,0,0,-0.359248573,0,0,0.013892781,2.835028536
,,,,,,,
0.098548557,0,0,-0.358722316,0,0,0.013645852,2.835324035
,,,,,,,
0.099099107,0,0,-0.358196059,0,0,0.013398923,2.835619535
,,,,,,,
0.099649658,0,0,-0.357669801,0,0,0.013151994,2.835915035
,,,,,,,
0.100200208,0,0,-0.357143544,0,0,0.012905065,2.836210534
,,,,,,,
0.100750759,0,0,-0.356617287,0,0,0.012658136,2.836506034
,,,,,,,
0.101301309,0,0,-0.35609103,0,0,0.012411207,2.836801533
,,,,,,,
0.10185186,0,0,-0.355564773,0,0,0.012164278,2.837097033
,,,,,,,
0.102402411,0,0,-0.355038515,0,0,0.011917349,2.837392533
,,,,,,,
0.102952961,0,0,-0.354512258,0,0,0.01167042,2.837688032
,,,,,,,
0.103503512,0,0,-0.353986001,0,0,0.011423491,2.837983532
,,,,,,,
0.104054062,0,0,-0.353459744,0,0,0.011176562,2.838279032
,,,,,,,
0.104604613,0,0,-0.352933487,0,0,0.010929633,2.838574531
,,,,,,,
0.105155163,0,0,-0.352407229,0,0,0.010682704,2.838870031
,,,,,,,
0.105705714,0,0,-0.351880972,0,0,0.010435775,2.839165531
,,,,,,,
0.106256264,0,0,-0.351354715,0,0,0.010188846,2.83946103
,,,,,,,
0.106806815,0,0,-0.350828458,0,0,0.009941917,2.83975653
,,,,,,,
0.107357365,0,0,-0.350302201,0,0,0.009694988,2.84005203
,,,,,,,
0.107907916,0,0,-0.349775943,0,0,0.009448059,2.840347529
,,,,,,,
0.108458466,0,0,-0.349249686,0,0,0.00920113,2.840643029
,,,,,,,
0.109009017,0,0,-0.348723429,0,0,0.008954201,2.840938529
,,,,,,,
0.109559568,0,0,-0.348197172,0,0,0.008707272,2.841234028
,,,,,,,
0.110110118,0,0,-0.347670915,0,0,0.008460343,2.841529528
,,,,,,,
0.110660669,0,0,-0.347144657,0,0,0.008213414,2.841825028
,,,,,,,
0.111211219,0,0,-0.3466184,0,0,0.007966485,2.842120527
,,,,,,,
0.11176177,0,0,-0.346092143,0,0,0.007719556,2.842416027
,,,,,,,
0.11231232,0,0,-0.345565886,0,0,0.007472627,2.842711527
,,,,,,,
0.112862871,0,0,-0.345039629,0,0,0.007225698,2.843007026
,,,,,,,
0.113413421,0,0,-0.344513372,0,0,0.006978769,2.843302526
,,,,,,,
0.113963972,0,0,-0.343987114,0,0,0.00673184,2.843598026
,,,,,,,
0.114514522,0,0,-0.343460857,0,0,0.006484911,2.843893525
,,,,,,,
0.115065073,0,0,-0.3429346,0,0,0.006237982,2.844189025
,,,,,,,
0.115615624,0,0,-0.342408343,0,0,0.005991053,2.844484525
,,,,,,,
0.116166174,0,0,-0.341882086,0,0,0.005744124,2.844780024
,,,,,,,
0.116716725,0,0,-0.341355828,0,0,0.005497195,2.845075524
,,,,,,,
0.117267275,0,0,-0.340829571,0,0,0.005250266,2.845371024
,,,,,,,
0.117817826,0,0,-0.340303314,0,0,0.005003337,2.845666523
,,,,,,,
0.118368376,0,0,-0.339777057,0,0,0.004756408,2.845962023
,,,,,,,
0.118918927,0,0,-0.33924986,0,0,0.004509377,2.846257645
,,,,,,,
0.119469477,0,0,-0.338723655,0,0,0.004262454,2.846553138
,,,,,,,
